Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Panier,shipping_delay,profit_margin,delivery_time
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,81f0ac57bc6708b59ef40d3a094049df2564aeebb2a60988af9067ee8451bebf,Consumer,United States,Henderson,Henderson,42420.0,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2.0,0.0,41.9136,Bush Somerset Collection Bookcase,3 days,0.16000000000000003,3.0
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,81f0ac57bc6708b59ef40d3a094049df2564aeebb2a60988af9067ee8451bebf,Consumer,United States,Henderson,Henderson,42420.0,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",40.74,3.0,0.0,7.2576,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",3 days,0.1781443298969072,3.0
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,12baa372aa2b34f88fe8cde5e986730d85feb52498a5e601fe276ee917aab4ca,Corporate,United States,Los Angeles,Los Angeles,90036.0,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.0,0.0,6.8714,Self-Adhesive Address Labels for Typewriters by Universal,4 days,0.47000000000000003,4.0
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,79412eca913e6f34aa530cc151cb8d4ed79e6c64942cfb9d6aa86292a8890a4a,Consumer,United States,Fort Lauderdale,Fort Lauderdale,33311.0,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,40.74,5.0,0.45,7.2576,Bretford CR4500 Series Slim Rectangular Table,7 days,0.1781443298969072,7.0
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,79412eca913e6f34aa530cc151cb8d4ed79e6c64942cfb9d6aa86292a8890a4a,Consumer,United States,Fort Lauderdale,Fort Lauderdale,33311.0,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2.0,0.2,2.5164,Eldon Fold 'N Roll Cart System,7 days,0.1125,7.0
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,Los Angeles,90032.0,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7.0,0.0,14.1694,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",5 days,0.29,5.0
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,Los Angeles,90032.0,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4.0,0.0,1.9656,Newell 322,5 days,0.27,5.0
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,Los Angeles,90032.0,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,40.74,6.0,0.2,7.2576,Mitel 5320 IP Phone VoIP phone,5 days,0.1781443298969072,5.0
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,Los Angeles,90032.0,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3.0,0.2,5.7825,DXL Angle-View Binders with Locking Rings by Samsill,5 days,0.31249999999999994,5.0
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,Los Angeles,90032.0,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5.0,0.0,34.47,Belkin F5C206VTEL 6 Outlet Surge,5 days,0.3,5.0
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,Los Angeles,90032.0,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,40.74,9.0,0.2,7.2576,Chromcraft Rectangular Conference Tables,5 days,0.1781443298969072,5.0
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,159648aed86f0d8412991c9af782bcccbe7c91127f0636614c45b04adafe11fa,Consumer,United States,Los Angeles,Los Angeles,90032.0,West,TEC-PH-10002033,Technology,Phones,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,40.74,4.0,0.2,68.3568,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,5 days,1.677879234167894,5.0
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,8c806e3b7f7a9c3d13afbdd4d87b3ad55093acb815455a640584ba1035c94b6b,Consumer,United States,Concord,Concord,28027.0,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3.0,0.2,5.4432,Xerox 1967,5 days,0.35000000000000003,5.0
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,bded6464f097e66af40869a07c51caee720e4af4f5ac82b984629af1d21feb4f,Consumer,United States,Seattle,Seattle,98103.0,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3.0,0.2,7.2576,Fellowes PB200 Plastic Comb Binding Machine,5 days,0.017789281722454264,5.0
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,6d98502ed8c04e84fe8f610f00a13c7b8def3b7958c1ed428ca0ccdd0d3bee4a,Home Office,United States,Fort Worth,Fort Worth,76106.0,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5.0,0.0,7.2576,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",4 days,0.10547304170905392,4.0
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,6d98502ed8c04e84fe8f610f00a13c7b8def3b7958c1ed428ca0ccdd0d3bee4a,Home Office,United States,Fort Worth,Fort Worth,76106.0,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3.0,0.0,-3.816,Storex DuraTech Recycled Plastic Frosted Binders,4 days,-1.5,4.0
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,6b28da9654cbd65c35eb9d7e0bfba9c644124a089716aadd98a56b0bc5a68ae6,Consumer,United States,Madison,Madison,53711.0,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",40.74,6.0,0.0,13.3176,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",7 days,0.32689248895434464,7.0
